archived_path,original_path,date,category,files,bytes,superseded_by,reason,evidence,reversible_with
data/99_archive/parked/permian_ramachandran/ramachandran_2024,data/external/ramachandran_2024,2026-08-12,parked,87535,5274184358,,"Texas/Permian orphan-well thread, parked 2026-08-12. 87,535 NAIP chips.",docs/REORGANIZATION_PLAN.md sec 3.3; user decision 2026-08-12,tools/apply_moves.py --undo --phase archive
data/99_archive/parked/permian_ramachandran/label_grids_permian_01,label_grids/permian_01,2026-08-12,parked,38,1693873329,,"Permian label grid, parked 2026-08-12.",docs/REORGANIZATION_PLAN.md sec 3.3; user decision 2026-08-12,tools/apply_moves.py --undo --phase archive
data/99_archive/parked/permian_ramachandran/label_grids_permian_02,label_grids/permian_02,2026-08-12,parked,13,529896167,,"Permian label grid, parked 2026-08-12.",docs/REORGANIZATION_PLAN.md sec 3.3; user decision 2026-08-12,tools/apply_moves.py --undo --phase archive
data/99_archive/parked/permian_ramachandran/label_grids_permian_03,label_grids/permian_03,2026-08-12,parked,13,534690154,,"Permian label grid, parked 2026-08-12.",docs/REORGANIZATION_PLAN.md sec 3.3; user decision 2026-08-12,tools/apply_moves.py --undo --phase archive
data/99_archive/parked/permian_ramachandran/label_grids_permian_04,label_grids/permian_04,2026-08-12,parked,13,529402322,,"Permian label grid, parked 2026-08-12.",docs/REORGANIZATION_PLAN.md sec 3.3; user decision 2026-08-12,tools/apply_moves.py --undo --phase archive
data/99_archive/parked/barlow_finesst/barlow,barlow,2026-08-12,parked,911,1591913319,,"FINESST proposal material, submitted. Not lidar analysis.",docs/REORGANIZATION_PLAN.md sec 3.3; user decision 2026-08-12,tools/apply_moves.py --undo --phase archive
data/99_archive/parked/barlow_finesst/barlow_data,barlow_data,2026-08-12,parked,0,0,,Empty; ~50 GB .gitignore reservation released.,docs/REORGANIZATION_PLAN.md sec 3.3; user decision 2026-08-12,tools/apply_moves.py --undo --phase archive
data/99_archive/superseded/notebooks_wellsight/_instance_common.py,notebooks/wellsight/_instance_common.py,2026-08-12,superseded,1,31678,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/annotations/_build_pit_dataset.py,notebooks/wellsight/annotations/_build_pit_dataset.py,2026-08-12,superseded,1,6296,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/annotations/_build_plat_road_dataset.py,notebooks/wellsight/annotations/_build_plat_road_dataset.py,2026-08-12,superseded,1,8641,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/annotations/_build_plat_split.py,notebooks/wellsight/annotations/_build_plat_split.py,2026-08-12,superseded,1,3901,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/annotations/_build_unified_split.py,notebooks/wellsight/annotations/_build_unified_split.py,2026-08-12,superseded,1,3686,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/annotations/_prep_annotations.py,notebooks/wellsight/annotations/_prep_annotations.py,2026-08-12,superseded,1,6609,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/annotations/_sanity_render.py,notebooks/wellsight/annotations/_sanity_render.py,2026-08-12,superseded,1,2942,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_build_3x3_hillshades.py,notebooks/wellsight/build/_build_3x3_hillshades.py,2026-08-12,superseded,1,7059,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_build_contours_data_3x3.py,notebooks/wellsight/build/_build_contours_data_3x3.py,2026-08-12,superseded,1,3493,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_build_data_3x3_derivatives.py,notebooks/wellsight/build/_build_data_3x3_derivatives.py,2026-08-12,superseded,1,5822,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_build_data_3x3_partial_westernpa.py,notebooks/wellsight/build/_build_data_3x3_partial_westernpa.py,2026-08-12,superseded,1,6086,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_build_derivatives.py,notebooks/wellsight/build/_build_derivatives.py,2026-08-12,superseded,1,16769,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_build_road_review_package.py,notebooks/wellsight/build/_build_road_review_package.py,2026-08-12,superseded,1,6551,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_infer_roads_data_3x3.py,notebooks/wellsight/build/_infer_roads_data_3x3.py,2026-08-12,superseded,1,7777,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_pit_optimize.py,notebooks/wellsight/build/_pit_optimize.py,2026-08-12,superseded,1,16423,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_postfilter_tile_candidates.py,notebooks/wellsight/build/_postfilter_tile_candidates.py,2026-08-12,superseded,1,5581,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_predict_on_tile.py,notebooks/wellsight/build/_predict_on_tile.py,2026-08-12,superseded,1,8617,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_refine_roads_data_3x3.py,notebooks/wellsight/build/_refine_roads_data_3x3.py,2026-08-12,superseded,1,21968,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_road_corrections_diff.py,notebooks/wellsight/build/_road_corrections_diff.py,2026-08-12,superseded,1,4095,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_road_methods_compare.py,notebooks/wellsight/build/_road_methods_compare.py,2026-08-12,superseded,1,6338,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_road_optimize.py,notebooks/wellsight/build/_road_optimize.py,2026-08-12,superseded,1,23090,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/build/_yolo_infer_tile.py,notebooks/wellsight/build/_yolo_infer_tile.py,2026-08-12,superseded,1,5258,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/multitask/_multitask_unet.py,notebooks/wellsight/multitask/_multitask_unet.py,2026-08-12,superseded,1,21456,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/pits/_pit_maskrcnn.py,notebooks/wellsight/pits/_pit_maskrcnn.py,2026-08-12,superseded,1,11109,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/pits/_pit_maskrcnn_infer.py,notebooks/wellsight/pits/_pit_maskrcnn_infer.py,2026-08-12,superseded,1,6824,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
data/99_archive/superseded/notebooks_wellsight/pits/_pit_unet_v2.py,notebooks/wellsight/pits/_pit_unet_v2.py,2026-08-12,superseded,1,4325,notebooks/wellsight_v2 (stage layout),no analysis_log.md run on/after 2026-06-12 (two-month rule),docs/v1_archive_plan.md; docs/script_last_used.md,tools/apply_moves.py --undo --phase v1_archive
